Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Validate Test Results and Prepare Report for Enquiry Module,SCRUM-13,10012,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Sakshi,712020:bf17970d-032b-43fa-bf80-c9f5ac82c9ac,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:34 PM,01/Jul/25 5:28 PM,,01/Jul/25 5:28 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0002n:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10004,SCRUM-5,Enquiry (LFS-4),Done,01/Jul/25 5:28 PM
Design & Exceute Manual Test Cases for Enquiry Module (Zephyr Scale),SCRUM-12,10011,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Sakshi,712020:bf17970d-032b-43fa-bf80-c9f5ac82c9ac,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:34 PM,26/Jun/25 3:24 PM,,26/Jun/25 3:24 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0002f:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10004,SCRUM-5,Enquiry (LFS-4),Done,26/Jun/25 3:24 PM
Validate Test results and Prepare Report Data for Flight Search Module,SCRUM-11,10010,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Chirag Guruswamy,712020:5826693a-dfaf-4081-9ab7-057cc2474a9c,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:34 PM,01/Jul/25 5:28 PM,,01/Jul/25 5:28 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i00027:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10003,SCRUM-4,Flight Search (LFS-3),Done,01/Jul/25 5:28 PM
Design & Exceute Manual Test Cases for Flight Search Module (Zephyr Scale),SCRUM-10,10009,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Chirag Guruswamy,712020:5826693a-dfaf-4081-9ab7-057cc2474a9c,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:34 PM,26/Jun/25 10:27 PM,,26/Jun/25 10:27 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0001z:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10003,SCRUM-4,Flight Search (LFS-3),Done,26/Jun/25 10:27 PM
Validate Results and Prepare Report for Ticket Booking Module,SCRUM-9,10008,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Arghyadip Santra,712020:46453968-3677-4005-ad6a-75ebe8085c64,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:33 PM,02/Jul/25 2:31 PM,,02/Jul/25 2:31 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0001r:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10002,SCRUM-3,Ticket Booking (LFS-2),Done,02/Jul/25 2:31 PM
Design & Execute Manual Test Cases for Ticket Booking Module (Zephyr Scale),SCRUM-8,10007,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Arghyadip Santra,712020:46453968-3677-4005-ad6a-75ebe8085c64,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:33 PM,02/Jul/25 2:31 PM,,02/Jul/25 2:31 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,SCRUM-25,SCRUM-16,SCRUM-17,,,,,0|i0001j:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10002,SCRUM-3,Ticket Booking (LFS-2),Done,02/Jul/25 2:31 PM
Validate Results and prepare Test report for Login Module,SCRUM-7,10006,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:32 PM,01/Jul/25 5:28 PM,,01/Jul/25 5:28 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0001b:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10001,SCRUM-2,Login (LFS-1),Done,01/Jul/25 5:28 PM
Design & Execute Manual Test Cases for Login Module (Zephyr Scale),SCRUM-6,10005,Subtask,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:32 PM,26/Jun/25 1:05 PM,30/Jun/25 4:50 PM,26/Jun/25 1:05 PM,,0,,,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i00013:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10001,SCRUM-2,Login (LFS-1),Done,26/Jun/25 1:05 PM
Enquiry (LFS-4),SCRUM-5,10004,Story,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Sakshi,712020:bf17970d-032b-43fa-bf80-c9f5ac82c9ac,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:04 PM,01/Jul/25 5:28 PM,01/Jul/25 5:29 PM,01/Jul/25 5:28 PM,,0,Enquiry,Sprint1,UI,"As a user, I want to submit an enquiry.",,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,SCRUM-18,,,,,,0|i0000v:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10000,SCRUM-1,UI FUNCTIONAL TESTING,Done,01/Jul/25 5:28 PM
Flight Search (LFS-3),SCRUM-4,10003,Story,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Chirag Guruswamy,712020:5826693a-dfaf-4081-9ab7-057cc2474a9c,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:03 PM,01/Jul/25 5:28 PM,01/Jul/25 5:28 PM,01/Jul/25 5:28 PM,,0,Flight,Sprint1,UI,"As a user, I want to search for flights.",,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,SCRUM-21,SCRUM-22,SCRUM-24,,,,,,,,,0|i0000n:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10000,SCRUM-1,UI FUNCTIONAL TESTING,Done,01/Jul/25 5:28 PM
Ticket Booking (LFS-2),SCRUM-3,10002,Story,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Arghyadip Santra,712020:46453968-3677-4005-ad6a-75ebe8085c64,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:02 PM,02/Jul/25 2:31 PM,30/Jun/25 11:47 AM,02/Jul/25 2:31 PM,,0,Sprint1,Ticket,UI,"As a user, I want to book a flight ticket.",,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,,0|i0000f:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10000,SCRUM-1,UI FUNCTIONAL TESTING,Done,02/Jul/25 2:31 PM
Login (LFS-1),SCRUM-2,10001,Story,Done,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,Done,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 4:00 PM,01/Jul/25 5:28 PM,01/Jul/25 5:28 PM,01/Jul/25 5:28 PM,,0,Login,Sprint1,UI,"All login functionalities, valid/invalid credentials, empty fields, error messages.",,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,SCRUM-14,SCRUM-15,SCRUM-23,,,,0|i00007:,SCRUM Sprint 1,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,10000,SCRUM-1,UI FUNCTIONAL TESTING,Done,01/Jul/25 5:28 PM
UI FUNCTIONAL TESTING,SCRUM-1,10000,Epic,To Do,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2518-Group7,software,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,Medium,,,,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,25/Jun/25 3:57 PM,01/Jul/25 9:34 PM,01/Jul/25 9:32 PM,,,0,,,,"h2. Objective

This epic aims to implement functional testing for the user interface of the Flight Ticket Booking System.

[Batch 18 Group 7 all sheets.xlsx|https://cognizantonline-my.sharepoint.com/:x:/r/personal/2416667_cognizant_com/Documents/Batch%2018%20Group%207%20all%20sheets.xlsx?d=we1431870482d40989d225ffc2947623d&csf=1&web=1&e=y4fiiL]

h2. Context

The focus is on ensuring that all UI components function correctly within the system.

h2. Scope

* *Included*: All UI-related functional testing.
* *Not Included*: Backend testing or non-UI related functionalities.

h2. Success criteria

* All UI components pass functional tests.
* No critical bugs are found in the UI.
* User experience meets defined standards.

h2. Risks and dependencies

* Potential delays in testing due to UI changes.
* Dependencies on the development team for timely updates.

h2. Other information

N/A",,Aman Garg,712020:015b2cca-47ca-4961-9234-a94073176605,,,,,,,,,,,,,,,,,,,purple,0|hzzzzz:,,,,f22d362d-2c6f-46c6-bf55-0ebf4a0890f5,Batch 18 Group 7,,,,,To Do,25/Jun/25 3:58 PM
